codigo,produtibilidade
6,0.813
7,0.3471
8,0.5437
9,0.3944
10,0.1523
48,0.2306
156,0.436
158,1.6404
249,0.0962
61,0.3744
62,0.2221
63,0.1841
66,1.0244
99,0.4021
120,0.5163
121,0.7007
122,0.3679
123,0.5575
131,2.6871
134,0.802
141,0.1698
144,0.1989
148,0.2558
149,0.4503
154,0.3071
155,0.3346
273,0.3315
278,0.508
279,0.2762
291,0.8689
281,2.2106
283,0.4495
294,0.4502
295,0.9297
296,1.5452
252,1.2239
207,0.5114
209,0.6294
262,1.0066
263,0.4593
270,1.0404
297,0.1499
285,0.155
287,0.1589
211,0.3549
241,0.3742
247,0.243
248,0.3214
251,0.6489
227,0.2431
306,0.3233
318,5.6808
57,1.0494
73,0.0
71,0.8126
77,0.8921
102,0.1878
111,0.3682
271,0.211
253,0.2149
259,0.7685
183,0.9364
191,0.3868
196,1.6903
197,1.1546
198,0.7164
126,0.9762
205,0.5836
206,0.6195
228,0.2078
230,0.2267
299,0.2702
303,2.7014
114,0.3356
257,0.2408
229,0.5054
217,0.8779
254,0.9483
277,0.1679
302,0.114
2,0.2437
51,0.1288
52,0.1489
286,1.035
145,0.5244
78,0.5747
81,0.1458
94,0.4506
97,0.3541
98,0.7676
101,1.7641
103,0.2545
92,0.9097
288,0.0
110,0.0
93,2.2252
112,0.7951
169,0.2449
113,0.7554
172,0.4425
115,6.3542
188,0.715
176,1.0213
178,1.0781
89,0.3691
190,0.3784
220,0.54
215,1.4153
222,0.5596
255,1.4533
275,0.5496
216,1.6063
269,0.208
292,0.8185
1,0.2076
49,0.6177
135,0.2094
204,0.1406
50,0.1483
280,0.1795
290,0.2315
213,2.1132
261,0.2395
88,0.4335
15,0.7502
16,0.2209
17,0.5183
18,0.4625
22,0.3551
23,0.3471
24,1.1582
25,0.9669
28,0.4169
43,0.4025
45,0.18
46,0.1754
47,0.2907
53,0.1275
225,0.2218
226,0.0
31,0.7027
72,0.8307
74,1.0938
75,0.904
32,0.2702
33,0.6355
284,0.3016
34,0.3869
37,0.1776
38,0.1848
39,0.1737
40,0.213
42,0.2784
11,0.2482
12,0.2012
14,0.8259
